"","Dive.ID","Material.Type","Code","Length","Width","Median","Weight","Model","Debris._kgs"
"364","D12","unknown","GAST",2.484,1.15,0.431,1.47121143047368,"LLM",28.12272694
"365","D12","unknown","GLRH",0.499,0.424,0.497,0.800258765735368,"Lpower",28.12272694
"366","D12","unknown","GLRH",0.764,0.542,0.497,1.13516704558626,"Lpower",28.12272694
"367","D12","unknown","GLRH",0.47,0.468,0.497,0.772245479410626,"Lpower",28.12272694
"368","D12","unknown","HCOR",2.384,1.669,2.513,13.1963585727854,"WPOLY",28.12272694
"369","D12","unknown","HCOR",4.753,0.793,2.513,7.43513541419864,"WPOLY",28.12272694
"370","D12","unknown","MTHR",0.847,0.719,0.1395,0.24517755031106,"WLM",28.12272694
"371","D12","unknown","MTHR",0.418,0.407,0.1395,0.08915735205506,"WLM",28.12272694
"372","D12","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",28.12272694
"373","D12","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",28.12272694
"374","D12","unknown","OPHR",NA,NA,0.1,0.1,"WLM",28.12272694
"375","D12","unknown","OPHR",NA,NA,0.1,0.1,"WLM",28.12272694
"376","D12","unknown","OPHR",NA,NA,0.1,0.1,"WLM",28.12272694
"377","D12","unknown","OPHR",NA,NA,0.1,0.1,"WLM",28.12272694
"378","D12","unknown","OPHR",NA,NA,0.1,0.1,"WLM",28.12272694
"379","D12","unknown","PAGR",1.505,0.853,0.941,1.05631659278125,"WLM",28.12272694
"380","D12","unknown","PAGR",1.89,0.797,0.941,0.936019971245247,"WLM",28.12272694
"381","D12","unknown","POLY",0.525,0.144,0.137,0.761682113140616,"Lpower",28.12272694
"382","D12","unknown","POLY",4.158,0.242,0.137,2.93565398850881,"Lpower",28.12272694
"383","D12","unknown","STOM",1.414,0.255,1.033,0.633467751918541,"LLM",28.12272694
"384","D12","unknown","XNTH",0.455,0.324,0.416,0.416,"MEDIAN",28.12272694
"385","D12","unknown","XNTH",0.227,0.16,0.416,0.416,"MEDIAN",28.12272694
"386","D14","unknown","BIVL",7.907,6.954,0.2675,69.5151290416796,"Wpower",73.48196394
"387","D14","unknown","BIVL",7.566,5.468,0.2675,41.2958741523673,"Wpower",73.48196394
"388","D14","unknown","BIVL",7.516,6.549,0.2675,61.0296798253119,"Wpower",73.48196394
"389","D14","unknown","BIVL",7.956,7.61,0.2675,84.5477434046847,"Wpower",73.48196394
"390","D14","unknown","BIVL",5.821,5.795,0.2675,46.8230086661829,"Wpower",73.48196394
"391","D14","unknown","CARD",3.561,0.776,0.0745,0.586383291871754,"LLM",73.48196394
"392","D14","unknown","CARD",1.19,0.217,0.0745,0.029932009676754,"LLM",73.48196394
"393","D14","unknown","CARD",2.088,0.564,0.0745,0.240684119086754,"LLM",73.48196394
"394","D14","unknown","CARD",1.98,0.396,0.0745,0.215337540226754,"LLM",73.48196394
"395","D14","unknown","CARD",1.812,0.39,0.0745,0.175909528666754,"LLM",73.48196394
"396","D14","unknown","GLRH",1.697,0.364,0.497,3.4545733603493,"Lpower",73.48196394
"397","D14","unknown","MTHR",0.736,0.523,0.1395,0.14716486166306,"WLM",73.48196394
"398","D14","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",73.48196394
"399","D14","unknown","MTHR",1.298,0.445,0.1395,0.10815981209906,"WLM",73.48196394
"400","D14","unknown","MTHR",1.259,0.368,0.1395,0.06965482727306,"WLM",73.48196394
"401","D14","unknown","MTHR",2.658,0.699,0.1395,0.23517625555106,"WLM",73.48196394
"402","D14","unknown","POLY",NA,NA,0.137,0.137,"Lpower",73.48196394
"403","D14","unknown","POLY",1.739,0.28,0.137,1.62588616962012,"Lpower",73.48196394
"404","D14","unknown","POLY",2.775,0.292,0.137,2.2254966383279,"Lpower",73.48196394
"405","D14","unknown","POLY",NA,NA,0.137,0.137,"Lpower",73.48196394
"406","D14","unknown","POLY",2.523,0.38,0.137,2.08639801322579,"Lpower",73.48196394
"407","D14","unknown","POLY",4.66,0.277,0.137,3.17628149210184,"Lpower",73.48196394
"408","D14","unknown","POLY",1.786,0.499,0.137,1.65492616400308,"Lpower",73.48196394
"409","D14","unknown","POLY",NA,NA,0.137,0.137,"Lpower",73.48196394
"410","D14","unknown","POLY",NA,NA,0.137,0.137,"Lpower",73.48196394
"411","D14","unknown","POLY",3.235,0.269,0.137,2.47074096610215,"Lpower",73.48196394
"412","D14","unknown","POLY",3.324,0.313,0.137,2.51703944713074,"Lpower",73.48196394
"413","D14","unknown","POLY",12.087,0.26,0.137,6.19348657297916,"Lpower",73.48196394
"414","D14","unknown","POLY",1.133,0.109,0.137,1.22853188757337,"Lpower",73.48196394
"415","D14","unknown","XNTH",6.552,1.856,0.416,0.416,"MEDIAN",73.48196394
